*‖ditaexchange‖C‖On‖DitaExchange
*‖dokr‖C‖On‖DokR (Dokumentacja Robocza)
*‖dokt‖C‖On‖DokT (Dokumentacja Techniczna)
*‖easm ‖C‖On‖EASM 
*‖easm/‖C‖On‖EASM
*‖iscala‖C‖On‖iSCALA
*‖pma‖C‖On‖PMA
*‖qnx‖C‖On‖QNX
*‖rs232‖C‖On‖RS232
*‖rs485‖C‖On‖RS485
*‖s49‖C‖On‖S49
*‖sap‖C‖On‖SAP
*‖svn‖C‖On‖SVN
*‖uic60‖C‖On‖UIC60
