*C?‖/a‖S2‖En‖ą‖
*C?‖/A‖S2‖En‖Ą‖
*C?‖/c‖S2‖En‖ć‖
*C?‖/C‖S2‖En‖Ć‖
*C?‖/e‖S2‖En‖ę‖
*C?‖/E‖S2‖En‖Ę‖
*C?‖/l‖S2‖En‖ł‖
*C?‖/L‖S2‖En‖Ł‖
*C?‖/n‖S2‖En‖ń‖
*C?‖/N‖S2‖En‖Ń‖
*C?‖/o‖S2‖En‖ó‖
*C?‖/O‖S2‖En‖Ó‖
*C?‖/s‖S2‖En‖ś‖
*C?‖/S‖S2‖En‖Ś‖
*C?‖/x‖S2‖En‖ź‖
*C?‖/X‖S2‖En‖Ź‖
*C?‖/z‖S2‖En‖ż‖
*C?‖/Z‖S2‖En‖Ż‖
