‖?test‖SI‖En‖testowy?‖
*‖a la‖CL‖En‖à la‖
*‖a propos‖SI‖En‖à propos‖
*‖afaik/‖CL‖En‖as far as I know‖
*‖apropos‖SI‖En‖à propos‖
*‖asap/‖CL‖En‖as soon as possible‖
‖btw‖SI‖Dis‖by the way‖
*‖btw/‖CL‖En‖by the way‖
*‖dyi/‖SI‖En‖do it yourself‖https://en.wikipedia.org/wiki/Digital_single-lens_reflex_camera
‖eg‖SI‖En‖e.g.‖
*?‖email‖MSI‖En‖e-mail¦📧¦e-mail (📧)‖
*‖fyi/‖SI‖En‖for your information‖https://en.wikipedia.org/wiki/Digital_single-lens_reflex_camera
*‖idk/‖SI‖En‖I don't know‖
C‖ie‖SI‖En‖i.e.‖U+1F418
*‖ie/‖CL‖En‖id est‖
‖mr‖SI‖En‖Mr.‖
‖mrs‖SI‖En‖Mrs.‖
‖passe‖SI‖En‖passé‖
*‖tbc/‖CL‖En‖to be continued‖
‖tbd‖SI‖En‖to be decided‖
*‖tbd/‖MSI‖En‖to be decided¦to be defined‖
*‖tbh/‖CL‖En‖to be honest‖
‖tourne‖SI‖En‖tournée‖
‖tournee‖SI‖En‖tournée‖
‖turne‖SI‖En‖tournée‖
*‖vis-a-vis‖SI‖En‖vis-à-vis‖
*‖visavis‖SI‖En‖vis-à-vis‖
