*‖+-‖C‖On‖±
*‖-+‖C‖On‖±
*‖--‖C‖Off‖─
*‖->‖MC‖On‖→¦←¦↔
*‖/=‖C‖On‖≠
*‖<=‖C‖On‖≤")
*‖>=‖C‖On‖≥
*‖\<‖C‖On‖↓
*‖\>‖C‖On‖↑
*‖alpha/‖C‖On‖α
*‖approx/‖C‖On‖≈
*‖beta/‖C‖On‖β
*‖deg/‖C‖On‖°
*‖delta/‖C‖On‖∆
*‖epsilon/‖C‖On‖ε
*‖euro/‖C‖On‖€
*‖gamma/‖C‖On‖γ
*‖kamp‖C‖On‖kA
*‖kohm‖C‖Off‖kΩ
*‖kropkam‖C‖On‖·
*‖kv‖C‖On‖kV
*‖lambda/‖C‖On‖λ
*‖mamp‖C‖On‖mA
*‖micro/‖C‖On‖µ
*‖minusplus‖C‖On‖±
*‖mkropka‖C‖On‖·
*‖mminus‖C‖On‖−
*‖mniejszyrowny‖C‖On‖≤
*‖mniejszyrówny‖C‖On‖≤
*‖oddo‖C‖On‖÷
*?‖ohm‖C‖On‖Ω
*‖omega/‖C‖On‖ω
*‖pi/‖C‖On‖π
*‖plusminus‖C‖On‖±
*‖stopc‖C‖On‖°
*‖theta/‖C‖On‖θ
*‖wiekszyrowny‖C‖On‖≥
*‖większyrówny‖C‖On‖≥
*‖~~‖C‖On‖≈
