*‖ditaexchange‖C‖On‖DitaExchange
*‖dokr‖C‖On‖DokR
*‖dokr/‖C‖On‖Dokumentacja Robocza
*‖dokt‖C‖On‖DokT
*‖dokt/‖C‖On‖Dokumentacja Techniczna
*‖easm ‖C‖On‖EASM 
*‖easm/‖C‖On‖EASM
*‖github‖A‖On‖Github
*‖iscala‖C‖On‖iSCALA
*‖pma‖C‖On‖PMA
*‖qnx‖C‖On‖QNX
*‖rs232‖C‖On‖RS232
*‖rs485‖C‖On‖RS485
*‖s49‖C‖On‖S49
*‖sap‖C‖On‖SAP
*‖svn‖C‖On‖SVN
*‖uic60‖C‖On‖UIC60
*‖webex‖A‖On‖Webex
