*‖a la‖C‖On‖à la
*‖a propos‖C‖On‖à propos
*‖afaik/‖C‖On‖as far as I know
*‖apropos‖C‖On‖à propos
*‖asap/‖C‖On‖as soon as possible
‖btw‖A‖On‖by the way
*‖btw/‖C‖Off‖by the way
‖eg‖A‖On‖e.g.
b0*?‖email‖A‖On‖{Backspace 5}e-mail
*‖english‖C‖On‖English
*‖fyi/‖C‖On‖For your information
*‖german‖C‖On‖German
*‖germany‖C‖On‖Germany
‖ie‖A‖On‖i.e.
B0*‖Mr‖A‖On‖{BackSpace 2}Mr. 
*‖Mrs‖A‖On‖{BackSpace 2}Mrs. 
‖pas2e‖A‖On‖passé
*‖poland‖C‖On‖Poland
*‖polish‖C‖On‖Polish
*‖polska‖C‖On‖Polska
*‖sharepoint‖C‖On‖Sharepoint
*‖sp/‖C‖On‖Sharepoint
*‖tbc/‖C‖On‖to be continued
B0*‖usa ‖A‖Off‖{BackSpace 4}USA 
*‖USA/‖C‖On‖United States of America
*‖wifi‖A‖On‖WiFi
