B0*‖gmbh ‖A‖On‖{Backspace 5}GmbH 
*‖gmbh/‖C‖On‖German: Gesellschaft mit beschränkter Haftung, English: company with limited liability 
B0*‖obb‖A‖On‖{BackSpace 3}ÖBB
B0*‖obb ‖A‖Off‖{Backspace 4}ÖBB 
*‖obb/‖C‖On‖German: Österreichische Bundesbahnen, English: Austrian Federal Railways 
B0*‖sbb ‖A‖On‖{Backspace 4}SBB 
*‖sbb/‖C‖On‖German: Schweizerische Bundesbahnen, English: Swiss Federal Railways
*‖sud‖C‖On‖SÜD
B0*‖tuv‖A‖On‖{Backspace 3}TÜV
B0*‖tuv ‖A‖Off‖{Backspace 4}TÜV
*‖tuv/‖C‖On‖German: Technischer Überwachungsverein, English: Technical Inspection Association 
