C*‖adobe‖SI‖En‖Adobe‖
C*‖allcad‖SI‖En‖AllCAD‖
C*‖alstom‖SI‖En‖Alstom‖
C*‖autocad‖CL‖En‖AutoCAD‖
C*‖autodesk‖SI‖En‖Autodesk‖
‖bart‖MSI‖En‖BART¦Bart‖
*‖bart/‖SI‖En‖The San Francisco Bay Area Rapid Transit District‖
C‖bombardier‖SI‖En‖Bombardier‖
C*‖budrad‖SI‖En‖Budrad‖
C*‖canon‖MSI‖En‖Canon¦canon‖
C‖cenelec‖SI‖En‖CENELEC‖
*‖cenelec/‖MSI‖En‖Comité Européen de Normalisation Électrotechnique¦European Committee for Electrotechnical Standardization‖https://www.cenelec.eu/
C*‖ditaexchange‖CL‖En‖DitaExchange‖
C*‖dx4‖SI‖En‖Dx4 ‖
C*‖edraw‖MSI‖En‖eDrawings¦https://www.edrawingsviewer.com/‖
C*‖eplan‖MSI‖En‖EPLAN¦https://www.eplan.pl/‖
C*‖ethernet‖SI‖En‖Ethernet‖
C‖excel‖SI‖En‖Excel‖
C*‖facebook‖SI‖En‖Facebook‖
C‖framemaker‖MSI‖En‖FrameMaker¦https://www.adobe.com/pl/products/framemaker.html‖
C‖git‖SI‖En‖Git‖
C*‖github‖SI‖En‖GitHub‖
C*‖gopro‖SI‖En‖GoPro‖
C*‖hbo‖SI‖En‖HBO‖
C*‖hg/‖MSI‖En‖High Grade¦High Grade Immersive Solutions Sp. z o.o.‖
C*‖hitachi‖MSI‖En‖Hitachi¦Hitachi Rail STS¦Hitachi Rail Signalling and Transportation Systems‖
C*‖ikea‖SI‖En‖IKEA‖
C*‖instagram‖SI‖En‖Instagram‖
C*‖internet‖SI‖En‖Internet‖
C*‖iphone‖SI‖En‖iPhone‖
C*‖iscala‖CL‖En‖iSCALA‖
‖joomla‖MSI‖En‖ Joomla!¦https://www.joomla.org/‖
C*‖linkedin‖SI‖En‖LinkedIn‖
C*‖linux‖SI‖En‖Linux‖
C‖logserv‖SI‖En‖LogServ‖
*‖logserv/‖MSI‖En‖Logistik Service GmbH¦https://www.logserv.at/‖
C*‖microsoft‖SI‖En‖Microsoft‖
C‖monat‖SI‖En‖Monat‖
C*‖Netflix‖SI‖En‖Netflix‖
C‖obi‖SI‖En‖OBI‖
C*‖onedrive‖SI‖En‖OneDrive‖
C*‖orcad‖MSI‖En‖OrCAD¦https://www.orcad.com/‖
C*‖pma‖MCL‖En‖PMA¦a division of the ABB Group, manufactures conductor and conduit systems and fittings to provide protection for wire and cable in applications‖https://www.lapptannehill.com/brands/pma-cable-protection
C*‖power point‖SI‖En‖PowerPoint‖
C*‖powerpoint‖SI‖En‖PowerPoint‖
C*‖qnx‖CL‖En‖QNX‖
C*‖rs232‖CL‖En‖RS232‖
C*‖rs485‖CL‖En‖RS485‖
C*‖s49‖CL‖En‖S49‖
C*‖santander‖SI‖En‖Santander‖
C*‖sap‖CL‖En‖SAP‖enterprise software to manage business operations and customer 
C*‖sharepoint‖CL‖En‖Sharepoint‖
*‖siemens‖SI‖En‖Siemens‖
C‖sncf‖SI‖En‖SNCF‖
*‖sncf/‖SI‖En‖Société nationale des chemins de fer français‖
C*‖solidworks‖MSI‖En‖SOLIDWORKS¦https://discover.solidworks.com/solidworks-products‖
C*‖sp/‖SI‖En‖Sharepoint‖
C*‖strava‖SI‖En‖Strava‖
C‖svn‖SI‖En‖SVN‖
*‖svn/‖CL‖En‖versioning and revision control system‖
C*‖tales‖SI‖En‖Thales‖
C*‖thales‖SI‖En‖Thales‖
C*‖twitter‖SI‖En‖Twitter‖
C*‖uic60‖CL‖En‖UIC60‖
C*‖unicode‖SI‖En‖Unicode‖
C‖vod‖SI‖En‖VOD‖
*‖vod/‖SI‖En‖Video On Demand‖
C*‖webex‖SI‖En‖Webex‖
C*?‖whatsapp‖SI‖En‖WhatsApp‖
C*‖wifi‖SI‖En‖WiFi‖
C*‖wikipedia‖SI‖En‖Wikipedia‖
C*‖windows‖MSI‖En‖Windows¦windows‖
C*‖yt‖CL‖En‖YouTube.com‖
C*‖zpas‖SI‖En‖ZPAS‖
