*‖:(‖CL‖En‖🙁‖
*‖:)‖CL‖En‖🙂‖
*‖:*‖CL‖En‖😳‖
*‖:-(‖CL‖En‖🙁‖
*‖:-)‖CL‖En‖🙂‖
*‖:-*‖CL‖En‖😳‖
*‖:-/‖CL‖En‖😕‖
*‖:-D‖CL‖En‖😀‖
*‖:-p‖CL‖En‖😜‖
*‖:-|‖CL‖En‖😐‖
*‖:/‖CL‖En‖😕‖
*‖:D‖CL‖En‖😀‖
*‖:p‖CL‖En‖😜‖
*‖:|‖CL‖En‖😐‖
*‖;)‖CL‖En‖😉‖
*‖;-)‖CL‖En‖😉‖
*‖<3/‖CL‖En‖♡‖
*‖ad2res2/‖SI‖En‖✉‖
*‖bicycle/‖MSI‖En‖🚲¦🚴¦🚵¦🚳‖
*‖box/‖SI‖En‖☐‖
*‖bug/‖SI‖En‖🐛‖U+1F41B
*‖candle/‖SI‖En‖🕯‖U+1F56F
*‖cat/‖CL‖En‖🐈‖
*‖chat/‖SI‖En‖🗪‖
*‖checknok/‖SI‖En‖❎‖
*‖checkok/‖SI‖En‖☑‖
*‖comment/‖SI‖En‖🗫‖U+1F5EB
*‖cow/‖SI‖En‖🐄‖
*‖def/‖SI‖En‖≝‖U+225D
*‖elephant/‖SI‖En‖🐘‖
*‖email/‖SI‖En‖{BackSpace}📧‖
*‖facepalm/‖SI‖En‖🤦‖
*‖fax/‖SI‖En‖🖷‖
*‖female/‖SI‖En‖{U+2640}‖
*‖files/‖SI‖En‖🗂‖
*‖flower/‖SI‖En‖🌷‖
*‖flowers/‖SI‖En‖💐: 🌹🍀🌻🌺🌸‖
*‖handup/‖SI‖En‖✋‖
*‖heart/‖SI‖En‖❤‖
*‖keyboard/‖SI‖En‖🖮‖
*‖male/‖SI‖En‖{U+2642}‖
*‖mouse/‖SI‖En‖🖱‖
*‖network/‖SI‖En‖🖧‖
*‖new/‖SI‖En‖🆕‖U+1F195
*‖next/‖SI‖En‖⟳‖U+27F3
*‖nok/‖CL‖En‖👎‖
*‖notebo2k‖SI‖En‖💻‖
*‖ok/‖CL‖En‖👍‖
*‖pc/‖SI‖En‖🖥‖
*‖phone/‖SI‖En‖☏‖
*‖printer/‖SI‖En‖🖨‖
*‖recycle/‖SI‖En‖♻‖
*‖run2er/‖SI‖En‖🏃‖
*‖runner/‖SI‖En‖🏃‖
*‖stop/‖SI‖En‖🛇‖
*‖sun/‖SI‖En‖☀‖
*‖tiger/‖SI‖En‖🐅‖
*‖train/‖SI‖En‖🚅‖
*‖warning/‖CL‖En‖⚠‖
*‖write/‖SI‖En‖✍‖U+270D
