*‖%%‖SI‖En‖‰‖
*‖+-‖CL‖En‖±‖
*‖-+‖CL‖En‖±‖
*‖--‖CL‖En‖─‖
*‖->‖MCL‖En‖→¦←¦↔‖
*‖-`t‖MSI‖En‖-¦−¦–¦—‖U+2010, U+2212, U+2013, U+2014
*‖/=‖CL‖En‖≠‖
*‖<=‖CL‖En‖≤‖
*‖>=‖CL‖En‖≥‖
*‖\<‖CL‖En‖↓‖
*‖\>‖CL‖En‖↑‖
*‖alpha/‖CL‖En‖α‖
*‖approx/‖CL‖En‖≈‖
*‖beta/‖CL‖En‖β‖
*‖bullets/‖MSI‖En‖•¦»¦‣¦⦿¦⦾¦◘¦▪‖
*?‖deg/‖CL‖En‖°‖
*‖delta/‖CL‖En‖∆‖
*‖diameter/‖SI‖En‖Ø‖U+00D8
*‖epsilon/‖CL‖En‖ε‖
*‖euro/‖CL‖En‖€‖
*‖gamma/‖CL‖En‖γ‖
*‖kamp‖CL‖En‖kA‖
*‖kmh‖SI‖En‖km/h‖
*‖kohm‖CL‖Dis‖kΩ‖
*‖kropkam‖MSI‖En‖·¦×‖
*‖kv‖CL‖En‖kV‖
*‖lambda/‖CL‖En‖λ‖
*‖mamp‖CL‖En‖MSI‖
*‖micro/‖CL‖En‖µ‖
*‖minusplus‖CL‖En‖±‖
*‖mkropka‖MSI‖En‖·¦×‖U+00B7 | U+00D7
*‖mminus‖CL‖En‖−‖
*‖mniejszyrowny‖CL‖En‖≤‖
*‖mniejszyrówny‖CL‖En‖≤‖
*‖oddo‖CL‖En‖÷‖
*?‖ohm‖CL‖En‖Ω‖
*‖omega/‖SI‖En‖ω‖
*‖par/‖SI‖En‖§‖
*‖per mille‖SI‖En‖‰‖
*‖pi/‖CL‖En‖π‖
*‖plusminus‖CL‖En‖±‖
*‖ppb/‖SI‖En‖{U+00BB}‖Power Point Bullet
*‖recycling/‖MSI‖En‖♻¦♲¦♺‖{U+267B}|{U+2672}|{U+267A}
*‖space/‖MSI‖En‖{U+2000}¦{U+2003}¦{U+2004}¦{U+2005}¦{U+2006}¦&nbsp;¦&emsp;‖useful in Mardown https://unicode-table.com/en/blocks/general-pu
*‖stopc/‖CL‖En‖°‖
*‖theta/‖CL‖En‖θ‖
*‖tilde/‖SI‖En‖~‖
‖vac‖SI‖En‖V{U+00A0}AC‖
*‖vdc‖SI‖En‖V{U+00A0}DC‖
*‖wiekszyrowny‖CL‖En‖≥‖
*‖większyrówny‖CL‖En‖≥‖
*‖~~‖CL‖En‖≈‖
