*C?‖ąa‖SI‖En‖aa‖
*C?‖ĄA‖SI‖En‖AA‖
*C?‖ćc‖SI‖En‖cc‖
*C?‖ĆC‖SI‖En‖CC‖
*C?‖ęe‖SI‖En‖ee‖
*C?‖ĘE‖SI‖En‖EE‖
*C?‖łl‖SI‖En‖ll‖
*C?‖ŁL‖SI‖En‖LL‖
*C?‖ńn‖SI‖En‖nn‖
*C?‖ŃN‖SI‖En‖NN‖
*C?‖óo‖SI‖En‖oo‖
*C?‖ÓO‖SI‖En‖OO‖
*C?‖śs‖SI‖En‖ss‖
*C?‖ŚS‖SI‖En‖SS‖
*C?‖źx‖SI‖En‖xx‖
*C?‖ŹX‖SI‖En‖XX‖
*C?‖żz‖SI‖En‖zz‖
*C?‖ŻZ‖SI‖En‖ZZ‖
