*‖033281/‖CL‖En‖ERA/ERTMS/033281 Interfaces between CCS trackside and other subsystems, Rev. 4.0.‖
*‖19/‖SI‖En‖19 inches (482.6 mm)‖
*‖2008/57/‖CL‖En‖Dyrektywa Parlamentu Europejskiego i Rady 2008/57/WE z dnia 17 czerwca 2008 r. w sprawie interoperacyjności systemu kolei we Wspólnocie.‖
*‖2009/131/‖CL‖En‖Dyrektywa Komisji 2009/131/WE z dnia 16 października 2009 r. zmieniająca załącznik VII do dyrektywy Parlamentu Europejskiego i Rady 2008/57/WE w sprawie interoperacyjności systemu kolei we Wspólnocie.‖
*‖2010/713/‖CL‖En‖Decyzja Komisji 2010/713/UE z dnia 9 listopada 2010 r. w sprawie modułów procedur oceny zgodności, przydatności do stosowania i weryfikacji WE stosowanych w technicznych specyfikacjach interoperacyjności przyjętych na mocy dyrektywy Parlamentu Europejskiego i Rady 2008/57/WE.‖
*‖2011/18/‖CL‖En‖Dyrektywa Komisji 2011/18/UE z dnia 1 marca 2011 r. zmieniająca załączniki II, V i VI do dyrektywy Parlamentu Europejskiego i Rady 2008/57/WE w sprawie interoperacyjności systemu kolei we Wspólnocie.‖
*‖2013/9/‖CL‖En‖Dyrektywa Komisji 2013/9/UE z dnia 11 marca 2013 r. zmieniająca załącznik III do dyrektywy Parlamentu Europejskiego i Rady 2008/57/WE w sprawie interoperacyjności systemu kolei we Wspólnocie.‖
*‖2014/106/‖CL‖En‖Dyrektywa Komisji 2014/106/UE z dnia 5 grudnia 2014 r. zmieniająca załącznik V i VI do dyrektywy Parlamentu Europejskiego i Rady 2008/57/WE w sprawie interoperacyjności systemu kolei we Wspólnocie.‖
C‖3408_10‖CL‖En‖Zadanie Nr 3408/10 Badania systemu diagnostyki stanów awaryjnych taboru typu ASDEK, Warszawa lipiec 2007 r., Centrum Naukowo-Techniczne Kolejnictwa.‖
*C‖availability/‖SI‖En‖ability of a product to be in a state to perform a required function under given conditions at a given instant of time or over a given time interval assuming that the required external resources are provided.`n[SOURCE: IEC 62278:2002, 3.4]`n‖
*B0‖axle counter/‖SI‖En‖{BackSpace}{Space}system using counting points with a wheel detector and a counter which detects the occupancy of a section of track by comparing the number of axles which enter the section with the number of axles which leave the section, parity of the numbers being necessary to give a clear indication [SOURCE: IEC 62427:2007, 3.15]‖https://www.electropedia.org/iev/iev.nsf/display?openform&ievref
‖en50122_1‖SI‖En‖PN-EN 50122-1:2011/A4:2017-03 Zastosowania kolejowe – Urządzenia stacjonarne – Bezpieczeństwo elektryczne, uziemianie i sieć powrotna – Część 1: Środki ochrony przed porażeniem elektrycznym.‖
‖en50124_1‖SI‖En‖PN-EN 50124-1:2017-09 Zastosowania kolejowe – Koordynacja izolacji – Część 1: Wymagania podstawowe – Odstępy izolacyjne powietrzne i powierzchniowe dla całego wyposażenia elektrycznego i elektronicznego.‖
‖en50124_2‖SI‖En‖PN-EN 50124-2:2017-09 Zastosowania kolejowe – Koordynacja izolacji – Część 2: Przepięcia i ochrona przeciwprzepięciowa.‖
‖en50125-3‖SI‖En‖EN 50125-3:2003‖
*‖en50125-3/‖MSI‖En‖EN 50125-3:2003 Railway applications ─ Environmental conditions for equipment ─ Part 3: Equipment for signalling and telecommunications¦PN-EN 50125-3:2003/AC:2010E Zastosowania kolejowe – Warunki środowiskowe stawiane urządzeniom – Część 3: Wyposażenie dla sygnalizacji i telekomunikacji‖
C‖en50126‖SI‖Dis‖EN 50126‖
C‖en50126-1‖SI‖En‖EN 50126-1:2018‖
*‖en50126-1/‖CL‖En‖EN 50126-1:2018 Railway applications – The specification and demonstration of reliability, availability, maintainability and safety (RAMS) – Part 1: Generic RAMS Process.‖
C‖en50126-2‖SI‖En‖EN 50126-2:2017‖
*‖en50126-2/‖CL‖En‖EN 50126-2:2017 Railway applications – The specification and demonstration of reliability, availability, maintainability and safety (RAMS) – Part 2: Systems Approach to Safety.‖
*‖en50126old/‖CL‖En‖EN 50126:1999 Railway applications – The specification and demonstration of Reliability, Availability, Maintainability and Safety (RAMS).‖
‖en50128‖CL‖En‖EN 50128:2011‖
