‖ secrac‖SI‖En‖SecRAC‖
*‖ secrac/‖SI‖En‖Security Related Application Condition‖
*‖ab/‖SI‖En‖ASDEK_BAZ‖
C‖abm‖SI‖En‖ABM‖
*‖abm/‖MCL‖En‖enclosure¦kaseta‖
‖acd‖SI‖En‖ACD‖
*‖acd/‖MSI‖En‖Axle Counter Detector¦axle counter detector: detector consisting of the axle counter sensor and of the detection circuit, which includes in general filters and rectifiers [EN 50617-2:2015: 3.1.2]‖
C‖acm‖SI‖En‖ACM‖
*‖acm/‖MCL‖En‖axle counting module¦moduł liczący osie‖
‖acs‖SI‖En‖ACS‖
*‖acs/‖SI‖En‖Axle Counting System‖
C‖adm‖SI‖En‖ADM‖
*‖adm/‖MCL‖En‖extended diagnostics module¦moduł rozszerzonej diagnostyki‖
*‖adres/‖MCL‖En‖Jana z Kolna 26c, 81-859 Sopot, Polska¦Jana z Kolna 26c, 81-859 Sopot, Poland¦Gdańska 31, 83-034, Trąbki Wielkie, Polska¦Gdańska 31, 83-034, Trąbki Wielkie, Poland‖
C‖ads‖SI‖En‖ADS‖not functioning brakes
*‖ads/‖SI‖En‖Antenna Detection System‖voestalpine Signaling Siershahn
C‖agm‖SI‖En‖AGM‖
*C‖agm/‖SI‖En‖Gateway module‖
C‖aim‖SI‖En‖AIM‖voestalpine Signaling Siershahn
*‖aim/‖MCL‖En‖inputs and outputs module UniAC[1]¦moduł wejść wyjść UniAC[1]‖
C‖ams‖SI‖En‖AMS‖
*‖ams/‖SI‖En‖Accustic Monitoring System‖
C‖anszua‖SI‖En‖AnSzuA‖
*‖anszua/‖CL‖En‖system zarządzania usługami‖
‖asdek‖MCL‖En‖ASDEK¦ASDEK/GM/GH/PHOENIX¦ASDEK/PM/GM/GH/OK/PHOENIX/GOTCHA‖
*‖asdek/‖CL‖En‖automatyczny system diagnostyki i eksploatacji kół pojazdów kolejowych‖
C‖asm‖SI‖En‖ASM‖
*‖asm/‖MCL‖En‖evaluation module¦moduł oceniający‖
C‖at‖SI‖Dis‖AT‖
C‖at	‖SI‖En‖AT‖
*C‖at/‖SI‖En‖Automatyczny Terminal‖
C‖atc‖SI‖En‖ATC‖
*‖atc/‖SI‖En‖Academy Training Center‖
C‖axc‖SI‖En‖AxC‖
*‖axc/‖CL‖En‖Axle Counting‖
C‖axm‖SI‖En‖AXM‖
*‖axm/‖MCL‖En‖multipurpose module¦moduł uniwersalny¦Universalmodul‖
*‖axma/‖MSI‖En‖AXM{Space}/{Space}AXM^=R^={Space}/{Space}AXM^=IO^=¦AXM / AXM_R / AXM_IO‖
‖axmio‖MSI‖En‖AXM^=IO^=¦AXM_IO‖
