*C?‖! a‖SI‖En‖{!} A‖
*C?‖! b‖SI‖En‖{!} B‖
*C?‖! c‖SI‖En‖{!} C‖
*C?‖! d‖SI‖En‖{!} D‖
*C?‖! e‖SI‖En‖{!} E‖
*C?‖! f‖SI‖En‖{!} F‖
*C?‖! g‖SI‖En‖{!} G‖
*C?‖! h‖SI‖En‖{!} H‖
*C?‖! i‖SI‖En‖{!} I‖
*C?‖! j‖SI‖En‖{!} J‖
*C?‖! k‖SI‖En‖{!} K‖
*C?‖! l‖SI‖En‖{!} L‖
*C?‖! m‖SI‖En‖{!} M‖
*C?‖! n‖SI‖En‖{!} N‖
*C?‖! o‖SI‖En‖{!} O‖
*C?‖! p‖SI‖En‖{!} P‖
*C?‖! r‖SI‖En‖{!} R‖
*C?‖! s‖SI‖En‖{!} S‖
*C?‖! t‖SI‖En‖{!} T‖
*C?‖! u‖SI‖En‖{!} U‖
*C?‖! v‖SI‖En‖{!} V‖
*C?‖! w‖SI‖En‖{!} W‖
*C?‖! x‖SI‖En‖{!} X‖
*C?‖! y‖SI‖En‖{!} Y‖
*C?‖! z‖SI‖En‖{!} Z‖
*C?‖. a‖SI‖En‖. A‖
*C?‖. b‖SI‖En‖. B‖
*C?‖. c‖SI‖En‖. C‖
*C?‖. d‖SI‖En‖. D‖
*C?‖. e‖SI‖En‖. E‖
*C?‖. f‖SI‖En‖. F‖
*C?‖. g‖SI‖En‖. G‖
*C?‖. h‖SI‖En‖. H‖
*C?‖. i‖SI‖En‖. I‖
*C?‖. j‖SI‖En‖. J‖
*C?‖. k‖SI‖En‖. K‖
*C?‖. l‖SI‖En‖. L‖
*C?‖. m‖SI‖En‖. M‖
*C?‖. n‖SI‖En‖. N‖
*C?‖. o‖SI‖En‖. O‖
*C?‖. p‖SI‖En‖. P‖
*C?‖. r‖SI‖En‖. R‖
*C?‖. s‖SI‖En‖. S‖
*C?‖. t‖SI‖En‖. T‖
*C?‖. u‖SI‖En‖. U‖
*C?‖. v‖SI‖En‖. V‖
*C?‖. w‖SI‖En‖. W‖
*C?‖. x‖SI‖En‖. X‖
*C?‖. y‖SI‖En‖. Y‖
*C?‖. z‖SI‖En‖. Z‖
*C?‖? a‖SI‖En‖? A‖
*C?‖? b‖SI‖En‖? B‖
*C?‖? c‖SI‖En‖? C‖
*C?‖? d‖SI‖En‖? D‖
*C?‖? e‖SI‖En‖? E‖
*C?‖? f‖SI‖En‖? F‖
*C?‖? g‖SI‖En‖? G‖
*C?‖? h‖SI‖En‖? H‖
*C?‖? i‖SI‖En‖? I‖
*C?‖? j‖SI‖En‖? J‖
*C?‖? k‖SI‖En‖? K‖
*C?‖? l‖SI‖En‖? L‖
*C?‖? m‖SI‖En‖? M‖
*C?‖? n‖SI‖En‖? N‖
*C?‖? o‖SI‖En‖? O‖
*C?‖? p‖SI‖En‖? P‖
*C?‖? r‖SI‖En‖? R‖
*C?‖? s‖SI‖En‖? S‖
*C?‖? t‖SI‖En‖? T‖
*C?‖? u‖SI‖En‖? U‖
*C?‖? v‖SI‖En‖? V‖
*C?‖? w‖SI‖En‖? W‖
*C?‖? x‖SI‖En‖? X‖
*C?‖? y‖SI‖En‖? Y‖
*C?‖? z‖SI‖En‖? Z‖
*CB0?‖`na‖SI‖En‖{BackSpace}A‖
*CB0?‖`nb‖SI‖En‖{BackSpace}B‖
*CB0?‖`nc‖SI‖En‖{BackSpace}C‖
*CB0?‖`nd‖SI‖En‖{BackSpace}D‖
*CB0?‖`ne‖SI‖En‖{BackSpace}E‖
*CB0?‖`nf‖SI‖En‖{BackSpace}F‖
*CB0?‖`ng‖SI‖En‖{BackSpace}G‖
*CB0?‖`nh‖SI‖En‖{BackSpace}H‖
*CB0?‖`ni‖SI‖En‖{BackSpace}I‖
*CB0?‖`nj‖SI‖En‖{BackSpace}J‖
*CB0?‖`nk‖SI‖En‖{BackSpace}K‖
*CB0?‖`nl‖SI‖En‖{BackSpace}L‖
*CB0?‖`nm‖SI‖En‖{BackSpace}M‖
*CB0?‖`nn‖SI‖En‖{BackSpace}N‖
*CB0?‖`no‖SI‖En‖{BackSpace}O‖
*CB0?‖`np‖SI‖En‖{BackSpace}P‖
*CB0?‖`nr‖SI‖En‖{BackSpace}R‖
*CB0?‖`ns‖SI‖En‖{BackSpace}S‖
*CB0?‖`nt‖SI‖En‖{BackSpace}T‖
*CB0?‖`nu‖SI‖En‖{BackSpace}U‖
*CB0?‖`nv‖SI‖En‖{BackSpace}V‖
*CB0?‖`nw‖SI‖En‖{BackSpace}W‖
*CB0?‖`nx‖SI‖En‖{BackSpace}X‖
*CB0?‖`ny‖SI‖En‖{BackSpace}Y‖
*CB0?‖`nz‖SI‖En‖{BackSpace}Z‖
