*‖%%‖SI‖En‖‰‖
*‖*/‖MSI‖En‖•¦»¦‣¦⦿¦⦾¦◘¦▪‖
*‖+-‖CL‖En‖±‖
*‖-	‖MSI‖En‖-¦−¦–¦—‖U+2010, U+2212, U+2013, U+2014
*‖-+‖CL‖En‖±‖
*‖--‖CL‖En‖─‖
*‖->‖MCL‖En‖→¦←¦↔‖
*‖/=‖CL‖En‖≠‖
*‖<=‖CL‖En‖≤‖
*‖>=‖CL‖En‖≥‖
*‖\<‖CL‖En‖↓‖
*‖\>‖CL‖En‖↑‖
*‖alpha/‖CL‖En‖α‖
*‖approx/‖CL‖En‖≈‖
*‖beta/‖CL‖En‖β‖
*‖bullets/‖MSI‖En‖•¦»¦‣¦⦿¦⦾¦◘¦▪‖
*‖cent/‖SI‖En‖¢‖U+00A2
*?‖deg/‖CL‖En‖°‖
*C‖Delta/‖CL‖En‖∆‖
*C‖delta/‖CL‖En‖δ‖
*‖diameter/‖SI‖En‖Ø‖U+00D8
*‖epsilon/‖CL‖En‖ε‖
*‖euro/‖CL‖En‖€‖
*‖exponent/‖MSI‖En‖¹¦²¦³¦⁴¦⁵¦⁶¦⁷‖U+00B2 | U+00B3 | U+2074 | U+2075 | U+2076 | U+2077
*C‖gamma/‖CL‖En‖γ‖
*C‖Gamma/‖CL‖En‖Γ‖
‖infinity‖SI‖En‖∞‖
*‖kamp‖CL‖En‖kA‖
*‖kmh‖SI‖En‖km/h‖
*‖kohm‖CL‖Dis‖kΩ‖
*‖kropkam‖MSI‖En‖·¦×‖
‖kv‖CL‖En‖kV‖
*C‖lambda/‖CL‖En‖λ‖
*C‖Lambda/‖CL‖En‖Λ‖
*‖mamp‖CL‖En‖MSI‖
*‖micro/‖CL‖En‖µ‖
*‖minusplus‖CL‖En‖±‖
*‖mkropka‖MSI‖En‖·¦×‖U+00B7 | U+00D7
*‖mminus‖CL‖En‖−‖
*‖mniejszyrowny‖CL‖En‖≤‖
*‖mniejszyrówny‖CL‖En‖≤‖
*‖nbsp/‖SI‖En‖ ‖No-Break Space
*‖oddo‖CL‖En‖÷‖
*?‖ohm‖CL‖En‖Ω‖
*C‖omega/‖SI‖En‖ω‖
*C‖Omega/‖SI‖En‖Ω‖
*‖par/‖SI‖En‖§‖
*‖per mille‖SI‖En‖‰‖
*C‖pi/‖CL‖En‖π‖
*C‖Pi/‖CL‖En‖Π‖
*‖plusminus‖CL‖En‖±‖
*‖ppb/‖SI‖En‖{U+00BB}‖Power Point Bullet
*‖recycling/‖MSI‖En‖♻¦♲¦♺‖{U+267B}|{U+2672}|{U+267A}
*‖space/‖MSI‖En‖{U+2000}¦{U+2003}¦{U+2004}¦{U+2005}¦{U+2006}¦&nbsp;¦&emsp;‖useful in Mardown https://unicode-table.com/en/blocks/general-pu
*‖stopc/‖CL‖En‖°‖
*‖subscript/‖MSI‖En‖₂¦₃¦₄¦₅¦₆¦₇¦₈‖U+2082 | U+2083 | U+2084 | U+2085 | U+2086 | U+2087 | U+2088
*‖superscript/‖MSI‖En‖¹¦²¦³¦⁴¦⁵¦⁶¦⁷‖U+00B2 | U+00B3 | U+2074 | U+2075 | U+2076 | U+2077
*C‖theta/‖CL‖En‖θ‖
*C‖Theta/‖CL‖En‖Θ‖
*‖tilde/‖SI‖En‖~‖
‖vac‖SI‖En‖V{U+00A0}AC‖
*‖vdc‖SI‖En‖V{U+00A0}DC‖
*‖wiekszyrowny‖CL‖En‖≥‖
*‖większyrówny‖CL‖En‖≥‖
*‖~~‖CL‖En‖≈‖
