C‖gmbh‖SI‖En‖GmbH‖
*‖gmbh/‖MCL‖En‖company with limited liability ¦Gesellschaft mit beschränkter Haftung‖
C‖obb‖SI‖En‖ÖBB‖
*‖obb/‖MCL‖En‖Austrian Federal Railways¦Österreichische Bundesbahnen‖
C‖sbb‖SI‖En‖SBB‖
*‖sbb/‖MCL‖En‖Swiss Federal Railways¦Schweizerische Bundesbahnen‖
*‖sud‖CL‖En‖SÜD‖
*‖tsr/‖SI‖En‖TÜV SÜD Rail‖
C‖tuv‖SI‖En‖TÜV‖
*‖tuv/‖MCL‖En‖Technical Inspection Association ¦Technischer Überwachungsverein‖
