‖acs‖SI‖En‖ACS‖
*‖acs/‖SI‖En‖Axle Counting System‖
C‖bite‖SI‖En‖BITE‖https://opcfoundation.org/developer-tools/specifications-unified
*‖bite/‖SI‖En‖Built In Test Equipment‖https://opcfoundation.org/developer-tools/specifications-unified
C‖boq‖SI‖En‖BoQ‖https://opcfoundation.org/developer-tools/specifications-unified
*‖boq/‖SI‖En‖Bill of Quantities‖
C‖cc‖SI‖Dis‖CC‖
*‖cc/‖SI‖En‖Certificate of Conformity‖
‖digisafe‖SI‖En‖Digisafe‖
*‖digisafe/‖SI‖En‖Siemens SIL4 proprietary protocol between CBTC controllers, to be used mandatorily between CBTC zone controllers and the ACS‖
‖fq‖SI‖En‖FQ‖
*‖fq/‖MSI‖En‖façade de quai¦Platform Screen Doors‖
C‖lama‖SI‖En‖LAMA‖
*‖lama/‖SI‖En‖rail-road special maintenance vehicles‖
C‖llru‖SI‖En‖Lower Line Replaceable Unit‖
*C‖llru/‖MSI‖En‖Lower Line Replaceable Unit¦part of an LRU, and which can be removed and replaced at the field level to restore its LRU to an operational ready condition. As an LRU is consid-ered the 'parent', the LLRU is considered a 'child'. An LLRU can also be a child of a child--that is, an LLRU being a component of a higher-level LLRU. However, there is no hierarchy difference between child levels; the only hierarchical separation is parent versus child.`n[SOURCE: MIL-PRF-49506, Notice 1 of 18 Jan 05]‖
‖lt‖SI‖En‖LT‖
*‖lt/‖MSI‖En‖Logique Traction ¦Traction Power‖
C‖mco‖SI‖En‖MCO‖
*‖mco/‖MSI‖En‖Maintien en Condition Opérationnelle ¦maintain, repair and operations‖
C‖mcs‖SI‖En‖MCS‖
*C‖mcs/‖MSI‖En‖méthode du calcul des coûts caractéristiques¦method of calculating characteristic costs‖
*C‖mcs/‖MSI‖En‖Maintien en condition de Sécurité¦How to provide all necessary support during the system life : security side, Cybersecurity‖
C‖mrv‖SI‖En‖MRV‖
*C‖mrv/‖SI‖En‖passenger trains‖
C‖opc‖SI‖En‖OPC‖
C‖opc-ua‖SI‖En‖OPC-UA‖
*‖opc-ua/‖MSI‖En‖Open Platform Communications Unified Architecture¦combines the functionality of the existing OPC interfaces with new technologies such as XML and Web Services to deliver higher level MES and ERP support.‖https://opcfoundation.org/developer-tools/specifications-unified
*‖opc/‖MSI‖En‖Open Platform Communications¦series of standards and specifications for industrial telecommunication‖https://en.wikipedia.org/wiki/Open_Platform_Communications
C‖pvru‖SI‖En‖PVRU‖
*‖pvru/‖SI‖En‖Factory Acceptance Report‖
‖sgp‖SI‖En‖SGP‖
*‖sgp/‖SI‖En‖Société du Grand Paris‖
‖sig‖SI‖En‖SIG‖
*‖sig/‖SI‖En‖Signaling: all equipment from signaling ‖
*‖systra‖SI‖En‖SYSTRA‖
‖tvd‖SI‖En‖TVD‖
*‖tvd/‖MSI‖En‖Track Vacancy Detector¦synonymous of axle counter track section or track block (comprising of a set of counting heads forming one block)‖
C‖vmi-a‖SI‖En‖VMI-A‖
*‖vmi-a/‖SI‖En‖auscultation trains‖
C‖vmi-i‖SI‖En‖VMI-I‖
*‖vmi-i/‖SI‖En‖work locomotives, wagons and special cars‖
C‖zc‖SI‖En‖ZC‖
*‖zc/‖SI‖En‖CBTC Zone Controller‖
